,title,filepath
0,a very typical bus station,./cc_data/train/sample0.jpg
1,sierra looked stunning in this top and this skirt while performing with person at their former university,./cc_data/train/sample1.jpg
2,interior design of modern living room with fireplace in a new house,./cc_data/train/sample3.jpg
3,cybernetic scene isolated on white background .,./cc_data/train/sample4.jpg
4,the jetty : different types of plants to establish a variety of ecosystems .,./cc_data/train/sample6.jpg
5,traditional ornamental floral paisley bandanna .,./cc_data/train/sample7.jpg
6,# of the sports team skates against sports team during their game .,./cc_data/train/sample8.jpg
7,a flight was traveling when the animal got free on tuesday night,./cc_data/train/sample10.jpg
8,celebrities start decorating for the christmas season lifestyle,./cc_data/train/sample14.jpg
9,functions of government : 1 . form a more perfect union,./cc_data/train/sample15.jpg
10,all shots by by person and rider shots can be found on his website .,./cc_data/train/sample19.jpg
11,this is real fast food !,./cc_data/train/sample22.jpg
12,safe deposit with money around it on a white background photo,./cc_data/train/sample23.jpg
13,dunes lay the blueprint for the back nine .,./cc_data/train/sample25.jpg
14,portrait of a smiling woman stroking her dog lying on couch,./cc_data/train/sample26.jpg
15,young business woman on a bench,./cc_data/train/sample27.jpg
16,american football player looks downfield during the second half of a football game against sports team,./cc_data/train/sample28.jpg
17,"funny animals of the week , animal pictures",./cc_data/train/sample31.jpg
18,the sign promises as much as the glorious blue sky .,./cc_data/train/sample33.jpg
19,people tour and enjoy the public park during summer,./cc_data/train/sample35.jpg
20,interesting 1930 's poster for a cosmetic company with stores .,./cc_data/train/sample36.jpg
21,racecar driver steers his car during video game subject .,./cc_data/train/sample37.jpg
22,vintage elegant floral card with frame decorated with black and white lilies on a pink background .,./cc_data/train/sample38.jpg
23,heavy snow falls over a snow lined river .,./cc_data/train/sample39.jpg
24,bright living room in the attic,./cc_data/train/sample40.jpg
25,green sea turtle isolated on a white background 3d illustration,./cc_data/train/sample44.jpg
26,"person , was surprised by the staff",./cc_data/train/sample45.jpg
27,red and white flag on the mast,./cc_data/train/sample46.jpg
28,football player celebrates scoring for football team against football team in the final,./cc_data/train/sample47.jpg
29,concept plug - in hybrid car on display,./cc_data/train/sample48.jpg
30,a pencil drawing of a zebra and her baby .,./cc_data/train/sample49.jpg
31,actor and daughters uk premiere held,./cc_data/train/sample53.jpg
32,"a fine , grainy vector pattern in black and white .",./cc_data/train/sample54.jpg
33,"seamless border of orange roses and paisley , pattern on a white background .",./cc_data/train/sample55.jpg
34,students in front of a school,./cc_data/train/sample56.jpg
35,river as it meets bodies of water where airline meets,./cc_data/train/sample58.jpg
36,young rock star jamming on a guitar,./cc_data/train/sample59.jpg
37,a moored fishing boat viewed from island .,./cc_data/train/sample60.jpg
38,vector illustration of person isolated on a white background,./cc_data/train/sample61.jpg
39,sheep with a black face fenced in on a winter day,./cc_data/train/sample63.jpg
40,a small park with flags and a yellow banner around a tree in support of troops,./cc_data/train/sample64.jpg
41,isolated water glass on a white background,./cc_data/train/sample65.jpg
42,"when choosing your new outdoor color palette , opt for something that will enhance your home 's architectural style and give you plenty of curb appeal .",./cc_data/train/sample66.jpg
43,person at a corporate event,./cc_data/train/sample67.jpg
44,bulldozer on a building site,./cc_data/train/sample68.jpg
45,person finishes at the top,./cc_data/train/sample69.jpg
46,country shape animated on the satellite map of the globe,./cc_data/train/sample70.jpg
47,paths are clearly marked with signs like this .,./cc_data/train/sample71.jpg
48,putts for birdie on the second hole during the final round of the golf tournament .,./cc_data/train/sample72.jpg
49,person shot from a cliff looking out at the lake and horizon .,./cc_data/train/sample73.jpg
50,sending this angel your way ... it lights the way with it 's tiny candle .,./cc_data/train/sample74.jpg
51,i love the colours of her clothes .,./cc_data/train/sample75.jpg
52,"farm tractor is moving on the field , cultivating land",./cc_data/train/sample80.jpg
53,master playing with his little golden retriever dog on the lawn,./cc_data/train/sample81.jpg
54,year later the small shrubs doubled in size .,./cc_data/train/sample82.jpg
55,"according to the model , she regularly gets told it looks",./cc_data/train/sample83.jpg
56,person and the fiancee at their engagement party .,./cc_data/train/sample84.jpg
57,the water was never deeper than your chest .,./cc_data/train/sample86.jpg
58,twilight over italian gothic structure and the medieval town,./cc_data/train/sample87.jpg
59,"simple custom leather pulls for your dresser , cabinets , or doors .",./cc_data/train/sample89.jpg
60,sunny woodland morning along river .,./cc_data/train/sample90.jpg
61,"person , why u turn me on with your designs ? i believe i will bepinning some more of his work here in a bit .",./cc_data/train/sample91.jpg
62,industrial plants in the distance at night,./cc_data/train/sample93.jpg
63,building and skyscraper light up at night,./cc_data/train/sample94.jpg
64,actor is an actor who started out as a lawyer .,./cc_data/train/sample95.jpg
65,color good with green couch in living room ... favorite ... i think maybe a little too peach ?,./cc_data/train/sample96.jpg
66,tree branches swing at real time with the wind while clouds move fast in time lapse,./cc_data/train/sample98.jpg
